"Incident ID","Incident Date","State","City Or County","Address","# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested","Operations","Year","long","lat"
2080536,"August 1, 2021","Rhode Island","Providence","77 Reservoir Ave",0,5,0,0,0,"N/A","2021",-71.4270500362138,41.79438905
2079920,"August 1, 2021","Louisiana","New Orleans","1600  Iberville St",1,3,0,0,1,"N/A","2021",-90.076211,29.959396
2079913,"August 1, 2021","Louisiana","New Orleans","Bourbon St",0,4,0,1,3,"N/A","2021",-90.0684484,29.9554865
2079044,"July 31, 2021","Ohio","Columbus","1662 W Mound St",1,5,0,0,0,"N/A","2021",-83.042211,39.944113
2078897,"July 31, 2021","Illinois","Chicago","1600  E Hayes Dr",1,3,0,0,0,"N/A","2021",-87.5792158,41.7798463
2079271,"July 31, 2021","Indiana","Indianapolis","1134 W 30th St",0,5,0,0,1,"N/A","2021",-86.181638,39.8102467
2080006,"July 31, 2021","Michigan","Saginaw","2700  Lynnwood Ave",2,2,0,0,0,"N/A","2021",-74.12334,40.049266
2079516,"July 31, 2021","New York","Corona (Queens)","97-07 37th Ave",0,10,0,0,0,"N/A","2021",-73.869642507377,40.7520729
2081480,"July 31, 2021","Ohio","Cleveland","3100  W 25th St",0,5,0,0,0,"N/A","2021",45.7173463,41.9922076
2079533,"July 31, 2021","Kentucky","Lexington","414 East 5th St",0,5,0,0,0,"N/A","2021",-73.8201238,40.9044401
2078540,"July 29, 2021","Iowa","Davenport","Pacific St",0,4,0,0,0,"N/A","2021",-122.4562333,48.7573721
2077587,"July 29, 2021","Pennsylvania","Pittsburgh","239 Gilkeson Rd",2,2,1,0,0,"N/A","2021",-80.0936961150437,40.2183901287198
2077018,"July 28, 2021","District of Columbia","Washington","3400  22nd St SE",0,4,0,0,0,"N/A","2021",-76.97273,38.847275
2077549,"July 28, 2021","Alabama","Montgomery","1800  Rosa Parks Ave",1,3,0,0,2,"N/A","2021",-90.3451155,33.5137472
2076889,"July 28, 2021","South Carolina","Charleston","Hanover St",1,4,0,0,1,"N/A","2021",-83.0124834719739,39.9656939
2074353,"July 25, 2021","Michigan","Detroit","16342 W McNichols Rd",0,6,0,0,0,"N/A","2021",-83.2084481428571,42.4158581428571
2074406,"July 25, 2021","California","Wasco","1718 1st St",4,1,1,0,0,"N/A","2021",-81.3407167,27.3126502
2073472,"July 25, 2021","Illinois","Chicago","4800  W Race Ave",0,5,0,0,0,"N/A","2021",-87.746423,41.890551
2073597,"July 25, 2021","Washington","Seattle","100  Occidental Ave S",2,3,0,0,0,"N/A","2021",-122.332753,47.601597
2072782,"July 24, 2021","Ohio","Columbus","N High St",0,4,0,0,0,"N/A","2021",-83.0009341,39.9637313
2072962,"July 24, 2021","Texas","Amarillo","1306 NE 3rd Ave",0,6,0,0,0,"N/A","2021",-82.1338161664403,29.1996282503817
2072761,"July 24, 2021","Georgia","Macon","Cherry St",2,3,0,0,1,"N/A","2021",-73.9781019,40.7123927
2072342,"July 23, 2021","South Carolina","Spartanburg","151 Palisade St",2,2,0,0,0,"N/A","2021",-81.9296405,34.9325555
2071982,"July 23, 2021","South Carolina","Darlington","505 Oleander Dr",0,4,0,0,1,"N/A","2021",-85.9353387253521,30.2509168450704
2072896,"July 23, 2021","California","San Rafael","842 4th St",2,4,0,0,0,"N/A","2021",-82.9981805,39.9803239
2071343,"July 22, 2021","Texas","Houston","9717 N Houston Rosslyn Rd",1,5,0,0,0,"N/A","2021",-95.49435775,29.8811753125
2070329,"July 21, 2021","Illinois","Chicago","1400  S Ridgeway Ave",0,5,0,0,0,"N/A","2021",-87.71905,41.861576
2069490,"July 21, 2021","Maryland","Hyattsville (Adelphi)","1836 Metzerott Rd",1,4,0,0,0,"N/A","2021",-76.97598,39.0048165
2070645,"July 21, 2021","Illinois","Chicago","1647 N La Salle Dr",0,8,0,0,0,"N/A","2021",-99.7809504,32.4561492
2070310,"July 21, 2021","Illinois","Chicago","3300  W Douglas Blvd",2,3,0,0,1,"N/A","2021",-87.7081769715876,41.8631682
2068568,"July 20, 2021","Texas","Jacksonville","16241 TX-110",4,0,0,0,3,"N/A","2021",-95.5322438388551,32.5054634726664
2067728,"July 19, 2021","New Jersey","Perth Amboy","417 Fayette St",0,6,0,0,2,"N/A","2021",-76.6091291,39.290405
2068061,"July 19, 2021","Illinois","Chicago","3308 W Flournoy St",0,4,0,0,0,"N/A","2021",-87.7086575917856,41.8728318617846
2066335,"July 18, 2021","Ohio","Toledo","5205 Telegraph Rd",1,3,0,0,0,"N/A","2021",-83.5466095,41.71099
2067135,"July 18, 2021","Florida","Gainesville","1634 NE 8th Ave",1,4,0,0,0,"N/A","2021",-122.637741646291,48.3046396961824
2066680,"July 18, 2021","North Carolina","Burlington","421 N Church St",0,4,0,0,0,"N/A","2021",-90.1364527652608,32.1639639830836
2066905,"July 18, 2021","Arizona","Tucson","1575 E 36th St",3,3,1,0,0,"N/A","2021",-73.938720576511,40.61668115
2067290,"July 18, 2021","Texas","Houston","3421 Antoine Dr",2,2,1,0,0,"N/A","2021",-95.4737196245823,29.8211766370913
2066812,"July 18, 2021","California","Walnut Creek","SOS Dr",1,3,0,0,0,"N/A","2021",125.6253816,7.0961502
